name,clothing_type,category,brand,size,primary_color,secondary_colors,style_tags,weather_tags,season,description,image_filename,privacy
Gray Pants,Pants,bottom,,,gray,beige,,,,Added by StyleSnap bot on 2025-10-12,gray-pants-1760234083.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234085.jpg,public
Gray Shoes,Shoes,shoes,,,gray,beige|black,,,,Added by StyleSnap bot on 2025-10-12,gray-shoes-1760234086.jpg,public
Gray Shoes,Shoes,shoes,,,gray,beige|black,,,,Added by StyleSnap bot on 2025-10-12,gray-shoes-1760234088.jpg,public
Gray Pants,Pants,bottom,,,gray,beige,,,,Added by StyleSnap bot on 2025-10-12,gray-pants-1760234090.jpg,public
Pink T-Shirt,T-Shirt,top,,,pink,beige|gray,,,,Added by StyleSnap bot on 2025-10-12,pink-t-shirt-1760234092.jpg,public
Gray T-Shirt,T-Shirt,top,,,gray,beige|brown,,,,Added by StyleSnap bot on 2025-10-12,gray-t-shirt-1760234094.jpg,public
Pink Shoes,Shoes,shoes,,,pink,black|beige,,,,Added by StyleSnap bot on 2025-10-12,pink-shoes-1760234097.jpg,public
Teal T-Shirt,T-Shirt,top,,,teal,beige|pink,,,,Added by StyleSnap bot on 2025-10-12,teal-t-shirt-1760234100.jpg,public
Pink Shoes,Shoes,shoes,,,pink,beige|black,,,,Added by StyleSnap bot on 2025-10-12,pink-shoes-1760234103.jpg,public
Beige Shoes,Shoes,shoes,,,beige,pink,,,,Added by StyleSnap bot on 2025-10-12,beige-shoes-1760234106.jpg,public
Black T-Shirt,T-Shirt,top,,,black,beige|gray,,,,Added by StyleSnap bot on 2025-10-12,black-t-shirt-1760234110.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234115.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,pink|gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234119.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,black|gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234122.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234124.jpg,public
Gray T-Shirt,T-Shirt,top,,,gray,white|beige,,,,Added by StyleSnap bot on 2025-10-12,gray-t-shirt-1760234126.jpg,public
White T-Shirt,T-Shirt,top,,,white,beige|pink,,,,Added by StyleSnap bot on 2025-10-12,white-t-shirt-1760234127.jpg,public
White T-Shirt,T-Shirt,top,,,white,beige|gray,,,,Added by StyleSnap bot on 2025-10-12,white-t-shirt-1760234129.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,pink,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234131.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234133.jpg,public
Pink T-Shirt,T-Shirt,top,,,pink,beige|gray,,,,Added by StyleSnap bot on 2025-10-12,pink-t-shirt-1760234134.jpg,public
Teal T-Shirt,T-Shirt,top,,,teal,beige|gray,,,,Added by StyleSnap bot on 2025-10-12,teal-t-shirt-1760234135.jpg,public
Pink T-Shirt,T-Shirt,top,,,pink,beige|gray,,,,Added by StyleSnap bot on 2025-10-12,pink-t-shirt-1760234137.jpg,public
Beige Shirt,Shirt,top,,,beige,pink|gray,,,,Added by StyleSnap bot on 2025-10-12,beige-shirt-1760234139.jpg,public
Beige T-Shirt,T-Shirt,top,,,beige,white|gray,,,,Added by StyleSnap bot on 2025-10-12,beige-t-shirt-1760234140.jpg,public
